Anio,Mes,Dia,Hora,TotalGeneradas,TotalCanceladas,TotalCanceladasConCupones,TotalNoCanceladasConCupones,TotalNoCanceladasSinCupones,Total,TotalDiscount
2015,1,1,0,12,4,0,0,8,4598.02,0.00000000
2015,1,1,1,3,0,0,0,3,NULL,0.00000000
2015,1,1,2,3,1,0,0,2,651.15,0.00000000
2015,1,1,3,4,2,0,0,2,2544.00,0.00000000
2015,1,1,4,6,5,1,1,0,4289.79,207.12000000
2015,1,1,5,5,1,0,0,4,342.00,0.00000000
2015,1,1,6,8,7,0,0,1,6183.80,0.00000000
2015,1,1,8,2,0,0,0,2,336.00,0.00000000
2015,1,1,10,3,1,0,0,2,1303.30,0.00000000
2015,1,1,11,2,1,0,0,1,813.45,0.00000000
2015,1,1,12,8,1,0,0,7,5516.43,0.00000000
2015,1,1,13,10,3,0,0,7,4221.04,0.00000000
2015,1,1,14,23,5,0,1,17,11539.61,28.80000000
2015,1,1,15,17,3,1,0,14,20341.36,204.77700000
2015,1,1,16,13,7,1,1,5,10574.56,391.82400000
2015,1,1,17,9,1,0,0,8,8746.80,0.00000000
2015,1,1,18,18,5,0,0,13,18065.17,0.00000000
2015,1,1,19,19,6,0,1,12,17451.42,526.04000000
2015,1,1,20,20,4,0,0,16,10736.88,0.00000000
2015,1,1,21,35,12,0,0,23,14992.25,0.00000000
2015,1,1,22,33,8,0,0,25,18175.63,0.00000000
2015,1,1,23,29,10,1,0,19,13647.00,213.47200000
2015,1,2,0,23,2,0,2,19,25019.60,985.14350000
2015,1,2,1,25,11,1,0,14,12487.02,103.16850000
2015,1,2,2,35,8,0,3,24,14900.50,60.14000000
2015,1,2,3,30,3,0,1,26,10628.13,0.00000000
2015,1,2,4,23,4,0,0,19,6936.74,0.00000000
2015,1,2,5,16,4,0,0,12,3599.48,0.00000000
2015,1,2,6,9,3,0,0,6,5009.58,0.00000000
2015,1,2,7,3,0,0,0,3,562.00,0.00000000
2015,1,2,8,4,1,0,0,3,19443.92,0.00000000
2015,1,2,9,4,0,0,0,4,2441.20,0.00000000
2015,1,2,10,5,1,0,0,4,9278.00,0.00000000
2015,1,2,11,19,5,0,0,14,8391.61,0.00000000
2015,1,2,12,34,7,1,1,26,18100.45,303.41400000
2015,1,2,13,40,7,0,2,31,25182.65,627.80000000
2015,1,2,14,56,16,3,2,38,40807.74,1907.05750000
2015,1,2,15,58,19,2,4,35,40223.74,625.53750000
2015,1,2,16,71,23,3,1,47,41586.75,220.88750000
2015,1,2,17,55,15,0,2,38,55473.81,299.00000000
2015,1,2,18,61,15,1,5,41,39174.89,541.34000000
2015,1,2,19,84,22,1,3,59,44598.92,1011.00000000
2015,1,2,20,50,16,1,0,34,46833.95,309.20000000
2015,1,2,21,33,11,2,3,19,27754.29,1821.84700000
2015,1,2,22,68,14,1,8,46,34414.34,1199.81500000
2015,1,2,23,57,17,0,2,38,36863.39,295.84700000
2015,1,3,0,42,13,0,0,29,16954.04,0.00000000
2015,1,3,1,43,7,1,3,33,34515.92,744.13700000
2015,1,3,2,40,12,0,0,28,15013.83,0.00000000
2015,1,3,3,41,14,1,0,27,29647.77,556.80000000
2015,1,3,4,28,6,0,2,20,11736.27,0.00000000
2015,1,3,5,10,2,0,0,8,3214.59,0.00000000
2015,1,3,6,9,4,0,0,5,3810.06,0.00000000
2015,1,3,7,6,4,0,0,2,17203.30,0.00000000
2015,1,3,8,4,3,0,0,1,1712.36,0.00000000
2015,1,3,9,1,1,0,0,0,599.00,0.00000000
2015,1,3,10,6,0,0,1,5,6159.00,357.60000000
2015,1,3,11,14,3,0,0,11,39904.29,0.00000000
2015,1,3,12,31,8,0,4,19,30872.41,295.00200000
2015,1,3,13,35,8,1,1,26,16322.41,702.80000000
2015,1,3,14,48,13,2,4,31,33142.71,177.86400000
2015,1,3,15,55,19,0,4,32,34639.49,422.13450000
2015,1,3,16,48,14,3,0,34,22367.99,354.51700000
2015,1,3,17,62,18,1,1,43,37387.33,487.20000000
